Opportunity Name,Opportunity Type,Stage,Created Date,EM Gross Planned Value Currency,EM Gross Planned Value (converted),Schedule Amount,Revenue Type,Programmatic Area,FR Purpose/Outcome,Emergency/HAC,Opportunity Lead Entity,Account/Donor Name,Gross Value in USD (Formula),Emergency/HAC Appeal,Recipient Entity,Beneficiary Country/Recipient Country,Beneficiary Region,Opportunity ID,Account ID,Opportunity Gross Value (converted) Currency,Opportunity Gross Value (converted),Account Category,Account Record Type,Account Level,Account Lead Entity,Lead Account's Region,Account Mailing Country,Lead NatCom/CO Acc. Category,Lead NatCom/CO ID,Lead Entity's UNICEF Region,Account: Created Date,Opportunity Lead Entity Name (Formula),Secondary donor,ISO Code,Business Area (CO/RO/PD),Donor,Type of donors,Funding Type ,Goals,Results,Regional Priority Areas,UNICEF Region,Year,Opportunity Type
Emergency Response,Public,Secured/Won,11/25/2024,Dollor,86713.44373,83949.28112,ORR Non-Thematic,Technical leadership for programme outcomes,Emergency Response,HAC-ARMENIA,,C,64650.66174,,,Austria,,,,31388.44271,28212721,Global/Regional Multilaterals,Public Sector,,PPD,NatCom,Denmark,,,HQ,11/25/2024,SERBIA CO,Unilever,AUT,Austria,C,Bilateral,Other Resources Emergency,SP,R2,Including,ECA,2022,Public
Innovation and Research Grants,Public,Initial Meetings,10/4/2024,Dollor,73467.21741,27028.86535,Revenue Type,"Violence, exploitation and abuse",Health,HAC-UKRAINE,,Natcom d,33985.24419,,,Azerbaijan,,,,35193.17281,26520357,Non-Profit/NGO Foundations,Public Sector,,BELARUS CO,NatCom,Bulgaria,,,ESARO,10/4/2024,ECARO,World Bank - Washington D.C.,AZE,Azerbaijan,Natcom d,Private,Other Resources Emergency,Health,R5,Including,ECA,2024,Public
Emergency Response,Public,Negotiating/Contracting,10/13/2024,Dollor,81064.08626,40155.92691,Revenue Type,Early learning,Health,HAC-ECARO,,Natcom c,6928.706346,,,Bahamas,,,,46709.55053,9214428,Foundation,Private Sector,,UK NATCOM,WCARO,Netherlands,,,NatCom,10/13/2024,MONTENEGRO CO,African Development Bank (AfDB),BHS,Bahamas,Natcom c,EU,Other Resources Emergency,Health,R2,Including,LACRO,2023,Public
Development Initiatives,Private,Secured/Won,3/6/2024,Dollor,2409.614646,92820.7389,ORR Non-Thematic,"Policy advocacy – urban, civil society, parliament, environment",Increased Immunization Rates,HAC-UKRAINE,,EU ECHO,71492.16394,,,Bahrain,,,,74700.85731,14352124,University/Education Org.,Public Sector,,UK NATCOM,NatCom,Tajikistan,,,HQ,3/6/2024,MONTENEGRO CO,European Investment Bank,BHR,Bahrain,EU ECHO,EU,Other Resources Emergency,CP,R3,Protecting,MENA,2023,Public
Emergency Response,Public,Initial Meetings,7/6/2024,Dollor,73233.62631,48113.42307,Revenue Type,Building capacity for Evaluation,Increased Immunization Rates,Emergency/HAC,,C,57950.80721,,,Bangladesh,,,,67936.74158,15108563,Global/Regional Multilaterals,Private Sector,,TURKIYE NATCOM,HQ,United States,,,NatCom,7/6/2024,ALBANIA CO,African Development Bank (AfDB),BGD,Bangladesh,C,EU,Other Resources Emergency,ADAP,R3,Protecting,ROSA,2022,Public
Advocacy and Policy Support,Public,Negotiating/Contracting,6/2/2024,Dollor,13672.91578,27985.73416,ORR Non-Thematic,WASH – General,Child Protection,Emergency/HAC,,C,69578.59008,,,Barbados,,,,29897.17471,30059675,Central Government,Private Sector,,GREECE CO,ROSA,Netherlands,,,ECARO,6/2/2024,GREECE CO,The United Kingdom,BRB,Barbados,C,Private,Other Resources Emergency,ADAP,R1,Learning,LACRO,2024,Public
Global Thematic Programs,Private,Secured/Won,10/16/2024,Dollor,7976.677341,80105.25075,ORE-Thematic,Building capacity for Evaluation,Emergency Response,HAC-STATE OF PALESTINE,,G,82646.06526,,,Belarus,,,,35446.82967,11768862,Central Government,Private Sector,,MOLDOVA CO,NatCom,Greece,,,MENARO,10/16/2024,TURKIYE NATCOM,African Development Bank (AfDB),BLR,Belarus,G,EU,Other Resources Regular,Education,R2,Including,ECA,2023,Public
Partnership Funding,Private,Negotiating/Contracting,7/24/2024,Dollor,504.6941802,87518.56276,ORE-Thematic,Child health,Increased Immunization Rates,HAC-UKRAINE,,ECHO,34623.04365,,,Belgium,,,,64084.12756,36795991,Corporate Foundation,Private Sector,,KYRGYZSTAN CO,EAPRO,Tajikistan,,,ECARO,7/24/2024,SOMALIA CO,European Investment Bank,BEL,Belgium,ECHO,Private,Other Resources Emergency,CP,R2,Thriving,ECA,2024,Public
Country Programmes,Public,Negotiating/Contracting,5/13/2024,Dollor,335.9925727,93267.27095,ORE-Thematic,"Financial, information and communication technology and administrative managemen",Education,HAC-ARMENIA,,Natcom d,88049.97922,,,Belize,,,,23803.00687,17931093,Central Government,Public Sector,,KYRGYZSTAN CO,MENARO,Greece,,,ESARO,5/13/2024,ALBANIA CO,African Development Bank (AfDB),BLZ,Belize,Natcom d,EU,Other Resources Regular,Child Protection,R3,Connecting,LACRO,2024,Public
Humanitarian Funding,Private,Negotiating/Contracting,10/13/2024,Dollor,78897.85508,99682.44805,Revenue Type,Special Purpose,Emergency Response,Ukraine Response,,EU ECHO,56553.74445,,,Benin,,,,3394.819316,7119453,IFI/RDB,Public Sector,,NETHERLANDS NATCOM,ECARO,Armenia,,,ESARO,10/13/2024,BELARUS CO,European Investment Bank,BEN,Benin,EU ECHO,Private,Other Resources Regular,WASH,R2,Learning,SSA,2022,Public
Emergency Response,Public,Secured/Won,10/11/2024,Dollor,31005.19887,36611.77423,ORR Non-Thematic,Human resources management,Advocacy,HAC-ARMENIA,,ECHO,62075.46484,,,Bhutan,,,,49511.15696,33102401,Sport Associations,Public Sector,,NETHERLANDS NATCOM,HQ,France,,,ESARO,10/11/2024,ROMANIA CO,European Investment Bank,BTN,Bhutan,ECHO,EU,Other Resources Regular,WASH,R5,Thriving,ROSA,2023,Public
Emergency Response,Public,Negotiating/Contracting,6/15/2024,Dollor,76897.87838,65566.39379,ORR Non-Thematic,Social exclusion – data and evidence,Health,HAC-ECARO,,Natcom c,19018.7013,,,Bolivia (Plurinational State of),,,,72901.6286,31822310,Non-Profit/NGO Foundations,Public Sector,,TURKIYE CO,NatCom,Netherlands,,,MENARO,6/15/2024,SOMALIA CO,Bill & Melinda Gates Foundation,BOL,Bolivia (Plurinational State of),Natcom c,Bilateral,Other Resources Emergency,Child Protection,R4,Thriving,LACRO,2024,Public
Development Initiatives,Private,Secured/Won,2/24/2024,Dollor,80220.26779,99314.99618,ORR Non-Thematic,Health systems strengthening,Increased Immunization Rates,HAC-ARMENIA,,Natcom A,79463.88496,,,Bosnia and Herzegovina,,,,94334.52321,19851421,Account Category,Private Sector,,TURKIYE CO,HQ,Switzerland,,,NatCom,2/24/2024,CROATIA CO,African Development Bank (AfDB),BIH,Bosnia and Herzegovina,Natcom A,EU,Other Resources Regular,Health,R2,Connecting,ECA,2024,Public
Humanitarian Funding,Private,Negotiating/Contracting,9/8/2024,Dollor,23786.74106,53319.16701,ORE-Thematic,Sanitation,Health,Ukraine Response,,G,88955.21657,,,Botswana,,,,69312.51528,13937697,Central Government,Private Sector,,MONTENEGRO CO,MENARO,Qatar,,,ECARO,9/8/2024,TURKIYE NATCOM,The United Kingdom,BWA,Botswana,G,Private,Other Resources Emergency,Education,R4,Learning,SSA,2022,Public
Emergency Response,Public,Secured/Won,8/20/2024,Dollor,86755.17971,93428.36528,ORE-Thematic,Saving lives and protecting rights in humanitarian situations,Health,HAC-ECARO,,Natcom d,56091.98093,,,Brazil,,,,44683.04902,6011286,Other,Private Sector,,ROMANIA CO,NatCom,Bulgaria,,,ECARO,8/20/2024,TURKIYE NATCOM,Bureau for Humanitarian Assistance,BRA,Brazil,Natcom d,Bilateral,Other Resources Regular,SP,R4,Learning,LACRO,2024,Public
Humanitarian Funding,Private,Negotiating/Contracting,3/10/2024,Dollor,78331.56121,83994.40991,ORR Non-Thematic,Capital investments,Emergency Response,HAC-UKRAINE,,Natcom A,11890.2997,,,British Virgin Islands,,,,5106.504161,30608757,Central Government,Private Sector,,GREECE CO,ECARO,Croatia,,,ESARO,3/10/2024,SERBIA CO,African Development Bank (AfDB),VGB,British Virgin Islands,Natcom A,EU,Other Resources Emergency,WASH,R2,Including,LACRO,2023,Public
Partnership Funding,Private,Negotiating/Contracting,9/2/2024,Dollor,53230.11997,88928.16226,ORR Non-Thematic,United Nations Coherence and cluster coordination,Emergency Response,HAC-ARMENIA,,Natcom A,27418.02136,,,Brunei Darussalam,,,,68220.63893,7354129,University/Education Org.,Public Sector,,TURKIYE NATCOM,ECARO,Croatia,,,ECARO,9/2/2024,LEBANON CO,African Development Bank (AfDB),BRN,Brunei Darussalam,Natcom A,EU,Other Resources Emergency,Health,R4,Connecting,EAPRO,2022,Public
Development Initiatives,Private,Secured/Won,11/2/2024,Dollor,76398.149,64174.85862,ORE-Thematic,UNICEF capacity for Supply and Logistics,Emergency Response,Ukraine Response,,Natcom A,63724.98894,,,Bulgaria,,,,64644.11618,19825358,Central Government,Public Sector,,QATAR CO,MENARO,Qatar,,,ESARO,11/2/2024,PPD,World Bank - Washington D.C.,BGR,Bulgaria,Natcom A,Private,Other Resources Emergency,WASH,R4,Thriving,ECA,2024,Public
Humanitarian Funding,Private,Negotiating/Contracting,3/18/2024,Dollor,46901.62693,94312.2146,ORE-Thematic,UNICEF capacity for Supply and Logistics,Advocacy,HAC-UKRAINE,,EU ECHO,12727.59606,,,Burkina Faso,,,,69403.66077,24699814,Other,Private Sector,,BELARUS CO,MENARO,Switzerland,,,NatCom,3/18/2024,BULGARIA CO,Bureau for Humanitarian Assistance,BFA,Burkina Faso,EU ECHO,Bilateral,Other Resources Emergency,Child Protection,R4,Including,SSA,2022,Public
Innovation and Research Grants,Public,Secured/Won,8/15/2024,Dollor,27750.74282,27490.4948,ORR Non-Thematic,ACT-A/COVAX Pillar 1 - Diagnostics,Child Protection,Emergency/HAC,,Natcom d,7387.296478,,,Burundi,,,,38079.81122,12959893,IFI/RDB,Private Sector,,KOSOVO CO,HQ,Greece,,,HQ,8/15/2024,TURKIYE NATCOM,African Development Bank (AfDB),BDI,Burundi,Natcom d,EU,Other Resources Emergency,Education,R2,Connecting,SSA,2023,Public
Innovation and Research Grants,Public,Initial Meetings,1/12/2024,Dollor,56600.55154,39678.58306,Revenue Type,Nutrition – Overweight & Obesity,Emergency Response,Ukraine Response,,Natcom A,43602.55943,,,Cabo Verde,,,,99776.26498,13322889,Global/Regional Multilaterals,Private Sector,,MONTENEGRO CO,ECARO,Belarus,,,ESARO,1/12/2024,UZBEKISTAN CO,African Development Bank (AfDB),CPV,Cabo Verde,Natcom A,EU,Other Resources Regular,Education,R3,Connecting,SSA,2023,Public
Emergency Response,Public,Secured/Won,3/2/2024,Dollor,81082.39398,55821.16671,ORR Non-Thematic,Child Protection – General,Emergency Response,Ukraine Response,,C,24067.74186,,,Cambodia,,,,40381.45203,27056065,Central Government,Public Sector,,DENMARK NATCOM,NatCom,Moldova,,,HQ,3/2/2024,ARMENIA CO,African Development Bank (AfDB),KHM,Cambodia,C,EU,Other Resources Regular,Child Protection,R2,Protecting,EAPRO,2024,Public
Advocacy and Policy Support,Public,Initial Meetings,9/9/2024,Dollor,32106.4592,55630.65237,Revenue Type,"Violence, exploitation and abuse",Emergency Response,Ukraine Response,,G,46836.57092,,,Cameroon,,,,92653.3124,33514452,Global/Regional Multilaterals,Private Sector,,GEORGIA CO,EAPRO,Moldova,,,ESARO,9/9/2024,MOLDOVA CO,African Development Bank (AfDB),CMR,Cameroon,G,EU,Other Resources Emergency,Child Protection,R4,Thriving,SSA,2023,Public
Innovation and Research Grants,Public,Negotiating/Contracting,6/14/2024,Dollor,93675.8764,24524.95424,ORE-Thematic,Nutrition – Overweight & Obesity,Emergency Response,HAC-UKRAINE,,Natcom c,9132.596542,,,Canada,,,,37045.22945,32574570,Sport Associations,Public Sector,,SENEGAL CO,MENARO,Albania,,,NatCom,6/14/2024,SOMALIA CO,World Bank - Washington D.C.,CAN,Canada,Natcom c,Private,Other Resources Regular,Health,R2,Protecting,NA,2024,Public
Country Programmes,Public,Secured/Won,2/9/2024,Dollor,21784.14684,14361.1401,ORE-Thematic,Supplies in support of programme results,Education,Ukraine Response,,ECHO,35282.16015,,,Central African Republic,,,,17690.88913,23029235,Corporate,Public Sector,,SERBIA CO,WCARO,Denmark,,,MENARO,2/9/2024,TURKIYE CO,European Investment Bank,CAF,Central African Republic,ECHO,Private,Other Resources Emergency,Health,R4,Connecting,SSA,2022,Public
Innovation and Research Grants,Public,Negotiating/Contracting,2/2/2024,Dollor,98310.39954,85906.12341,ORR Non-Thematic,Saving lives and protecting rights in humanitarian situations,Child Protection,Ukraine Response,,G,65265.22988,,,Chad,,,,90367.14107,27663755,Sport Associations,Private Sector,,FRANCE NATCOM,HQ,Albania,,,HQ,2/2/2024,PPD,The United Kingdom,TCD,Chad,G,Private,Other Resources Emergency,WASH,R3,Connecting,SSA,2023,Private
Development Initiatives,Private,Negotiating/Contracting,1/4/2024,Dollor,47603.975,20476.29762,Revenue Type,Community-based management of acute malnutrition,Child Protection,Ukraine Response,,ECHO,86090.54375,,,Chile,,,,36392.97283,21506663,Global/Regional Multilaterals,Private Sector,,TURKIYE NATCOM,NatCom,Moldova,,,ECARO,1/4/2024,UKRAINE CO,European Investment Bank,CHL,Chile,ECHO,Private,Other Resources Regular,WASH,R3,Protecting,LACRO,2024,Private
Partnership Funding,Private,Initial Meetings,5/11/2024,Dollor,11020.03775,34410.38976,Revenue Type,Education in emergencies,Advocacy,HAC-STATE OF PALESTINE,,ECHO,28638.98716,,,China,,,,10318.81711,12365228,Country Office,UNICEF NatCom/CO/Division,,SERBIA CO,ROSA,Greece,,,NatCom,5/11/2024,PPD,European Investment Bank,CHN,China,ECHO,Private,Other Resources Regular,ADAP,R2,Protecting,EAPRO,2023,Private
Partnership Funding,Private,Initial Meetings,4/22/2024,Dollor,24818.39882,2573.269357,ORR Non-Thematic,Other – including procurement services,Health,HAC-UKRAINE,,C,31647.82448,,,Colombia,,,,72907.50262,25638633,Governmental Organization,Public Sector,,KOSOVO CO,NatCom,France,,,HQ,4/22/2024,ECARO,African Development Bank (AfDB),COL,Colombia,C,EU,Other Resources Emergency,CP,R3,Protecting,LACRO,2024,Private
Emergency Response,Public,Negotiating/Contracting,3/15/2024,Dollor,26206.8348,92804.88854,ORR Non-Thematic,digital workspace for visual collaboration,Advocacy,HAC-UKRAINE,,Natcom d,23813.72652,,,Comoros,,,,70631.27947,34671262,Sport Associations,UNICEF NatCom/CO/Division,,DENMARK NATCOM,ECARO,Albania,,,HQ,3/15/2024,KYRGYZSTAN CO,Bureau for Humanitarian Assistance,COM,Comoros,Natcom d,Bilateral,Other Resources Emergency,WASH,R2,Including,SSA,2023,Private
Development Initiatives,Private,Initial Meetings,1/15/2024,Dollor,26000.70446,15154.73232,ORE-Thematic,Saving lives and protecting rights in humanitarian situations,Advocacy,HAC-STATE OF PALESTINE,,Natcom c,71410.17571,,,Congo,,,,75255.31668,22785726,Corporate Foundation,Public Sector,,QATAR CO,EAPRO,Netherlands,,,ESARO,1/15/2024,SERBIA CO,Bill & Melinda Gates Foundation,COG,Congo,Natcom c,Bilateral,Other Resources Emergency,CP,R3,Including,SSA,2023,Private
Partnership Funding,Private,Secured/Won,3/6/2024,Dollor,23182.12879,26144.70084,ORE-Thematic,Health systems strengthening,Increased Immunization Rates,HAC-UKRAINE,,ECHO,5510.042251,,,Cook Islands,,,,21999.58216,23413811,Foundation,Private Sector,,UK NATCOM,HQ,Belarus,,,ECARO,3/6/2024,CROATIA CO,Unilever,COK,Cook Islands,ECHO,Bilateral,Other Resources Emergency,Health,R2,Protecting,EAPRO,2022,Private
Emergency Response,Public,Secured/Won,10/31/2024,Dollor,34501.90982,96430.09053,ORR Non-Thematic,"Policy advocacy – urban, civil society, parliament, environment",Education,Emergency/HAC,,Natcom c,88306.07102,,,Costa Rica,,,,16832.13524,776917,Ministry,Public Sector,,NETHERLANDS NATCOM,HQ,Ukraine,,,ESARO,10/31/2024,ALBANIA CO,African Development Bank (AfDB),CRI,Costa Rica,Natcom c,EU,Other Resources Emergency,ADAP,R2,Including,LACRO,2022,Private
Innovation and Research Grants,Public,Negotiating/Contracting,8/13/2024,Dollor,20820.95206,40023.37505,ORR Non-Thematic,Infant and Young child feeding,Child Protection,Ukraine Response,,Natcom c,77744.83921,,,Côte d'Ivoire,,,,74181.63821,12513812,Global/Regional Multilaterals,UNICEF NatCom/CO/Division,,TAJIKISTAN CO,HQ,Ukraine,,,ESARO,8/13/2024,GEORGIA CO,USA (State) BPRM,CIV,Côte d'Ivoire,Natcom c,Bilateral,Other Resources Regular,ADAP,R1,Including,SSA,2023,Private
Humanitarian Funding,Private,Negotiating/Contracting,7/19/2024,Dollor,73319.32019,65419.16067,ORR Non-Thematic,Private sector fundraising - Special Purpose,Health,HAC-ARMENIA,,ECHO,27331.3019,,,Croatia,,,,61792.2307,4555351,Foundation,Private Sector,,QATAR CO,ECARO,Cyprus,,,NatCom,7/19/2024,PPD,European Investment Bank,HRV,Croatia,ECHO,Private,Other Resources Emergency,Child Protection,R2,Including,ECA,2024,Private
Advocacy and Policy Support,Public,Negotiating/Contracting,7/25/2024,Dollor,60293.5788,85938.09174,ORR Non-Thematic,Maternal and Newborn health,Advocacy,HAC-ARMENIA,,Natcom A,66473.00034,,,Cuba,,,,47680.13711,36343411,Membership based organizations,Private Sector,,CHINA CO,ECARO,Denmark,,,HQ,7/25/2024,ALBANIA CO,World Bank - Washington D.C.,CUB,Cuba,Natcom A,Private,Other Resources Regular,Health,R5,Connecting,LACRO,2023,Private
Advocacy and Policy Support,Public,Secured/Won,11/25/2024,Dollor,41238.24807,42556.82073,Revenue Type,Health and emergencies,Health,HAC-ECARO,,Natcom A,6346.37905,,,Cyprus,,,,89961.36412,38029212,Multi-Stakeholder Partnership,Private Sector,,MOLDOVA CO,EAPRO,Bulgaria,,,ECARO,11/25/2024,ALBANIA CO,Bureau for Humanitarian Assistance,CYP,Cyprus,Natcom A,Bilateral,Other Resources Emergency,SP,R2,Including,ECA,2022,Private
Emergency Response,Public,Negotiating/Contracting,2/23/2024,Dollor,44661.25814,62636.84995,Revenue Type,Leadership and Executive Direction,Health,HAC-ECARO,,Natcom c,2557.192456,,,Czechia,,,,82207.70488,38619288,Other,Public Sector,,MOLDOVA CO,EAPRO,Russian Federation,,,MENARO,2/23/2024,KOSOVO CO,World Bank - Washington D.C.,CZE,Czechia,Natcom c,Private,Other Resources Regular,WASH,R4,Learning,ECA,2022,Private
Development Initiatives,Private,Secured/Won,4/14/2024,Dollor,75843.73692,96276.7689,Revenue Type,Emergencies,Advocacy,HAC-ARMENIA,,C,9918.971085,,,Democratic People's Republic of Korea,,,,4671.592517,32418682,Non-Profit/NGO Foundations,Private Sector,,DENMARK NATCOM,HQ,Bulgaria,,,ECARO,4/14/2024,GEORGIA CO,The United Kingdom,PRK,Democratic People's Republic of Korea,C,Private,Other Resources Regular,ADAP,R2,Including,EAPRO,2024,Private
Emergency Response,Public,Secured/Won,2/12/2024,Dollor,2805.498277,10636.15395,ORR Non-Thematic,Immunization,Education,HAC-ECARO,,ECHO,55682.98874,,,Democratic Republic of the Congo,,,,7173.088826,25698328,Central Government,Public Sector,,CHINA CO,ECARO,Tajikistan,,,NatCom,2/12/2024,KOSOVO CO,Unilever,COD,Democratic Republic of the Congo,ECHO,Bilateral,Other Resources Emergency,ADAP,R4,Protecting,SSA,2022,Private
Partnership Funding,Private,Secured/Won,7/14/2024,Dollor,92962.55601,78582.37285,Revenue Type,Capital investments,Child Protection,Emergency/HAC,,Natcom c,21009.72164,,,Denmark,,,,82765.58346,4113607,Foundation,Public Sector,,INNOVATION UNIT,MENARO,Armenia,,,HQ,7/14/2024,TURKIYE CO,USA (State) BPRM,DNK,Denmark,Natcom c,Bilateral,Other Resources Regular,WASH,R2,Learning,ECA,2024,Private
Global Thematic Programs,Private,Initial Meetings,10/19/2024,Dollor,30670.95359,46220.40611,Revenue Type,ACT-A/COVAX Pillar 1 - Diagnostics,Emergency Response,HAC-UKRAINE,,C,89558.06402,,,Djibouti,,,,34006.27647,25031905,Corporate Foundation,Private Sector,,KOSOVO CO,NatCom,Tajikistan,,,MENARO,10/19/2024,SERBIA CO,Unilever,DJI,Djibouti,C,Bilateral,Other Resources Regular,Education,R4,Learning,SSA,2023,Private
Country Programmes,Public,Secured/Won,7/3/2024,Dollor,35356.33084,81294.6871,Revenue Type,Building capacity for Evaluation,Increased Immunization Rates,HAC-ARMENIA,,ECHO,87302.34342,,,Dominica,,,,52641.84313,12564202,Multi-Stakeholder Partnership,UNICEF NatCom/CO/Division,,INDIA CO,NatCom,Netherlands,,,ESARO,7/3/2024,UKRAINE CO,European Investment Bank,DMA,Dominica,ECHO,EU,Other Resources Regular,Education,R3,Connecting,LACRO,2022,Private
Advocacy and Policy Support,Public,Negotiating/Contracting,11/22/2024,Dollor,72215.06422,90651.14733,Revenue Type,Saving lives and protecting rights in humanitarian situations,Education,HAC-STATE OF PALESTINE,,Natcom c,97178.94829,,,Dominican Republic,,,,6810.259687,9107515,Central Government,Private Sector,,TURKIYE CO,EAPRO,Uzbekistan,,,ESARO,11/22/2024,TURKIYE CO,Bill & Melinda Gates Foundation,DOM,Dominican Republic,Natcom c,Bilateral,Other Resources Emergency,Child Protection,R5,Including,LACRO,2022,Private
Development Initiatives,Private,Initial Meetings,11/26/2024,Dollor,19059.14223,51334.92018,ORE-Thematic,Technical leadership for programme outcomes,Increased Immunization Rates,Ukraine Response,,Natcom A,41340.56581,,,Ecuador,,,,80747.37837,4558280,Central Government,Public Sector,,DENMARK NATCOM,WCARO,Albania,,,ESARO,11/26/2024,ROMANIA CO,African Development Bank (AfDB),ECU,Ecuador,Natcom A,EU,Other Resources Emergency,CP,R1,Protecting,LACRO,2022,Private
